country,code,continent,population,annual_co2_emissions_per_capita,waste_per_capita_tons_year,gdp_per_capita,income,life_expectancy,child_mortality,health_spending_per_capita
Panama,PAN,North America,4293208,1.6887718,0.37091707146616404,26882.130563205883,HIC,76.3302,1.5229536,2871.2014
Papua New Guinea,PNG,Oceania,9815691,0.8014462,0.12893601356922607,4077.6541696351283,LMC,65.075,4.446272,90.34275
Paraguay,PRY,South America,6603683,1.1171713,0.27390702968270336,14991.787751017122,UMC,72.7197,1.882634,1081.8473
Peru,PER,South America,32838533,1.4289497,0.2698032357102818,13609.619025186052,UMC,73.8315,1.6627978,778.54816
Philippines,PHL,Asia,112081229,1.1797879,0.1416172200710676,8455.187211669494,LMC,70.0974,2.7938812,424.15787
Poland,POL,Europe,38170958,7.92311,0.3360000002106878,37203.05332273819,HIC,76.5951,0.43917584,2356.091
Portugal,PRT,Europe,10370463,4.024724,0.5130000076927443,36591.45987271735,HIC,81.3664,0.33716518,3784.3953
Qatar,QAT,Asia,2803329,36.56411,0.4745,102724.38207038846,HIC,80.4095,0.64371747,3534.7507
Romania,ROU,Europe,19392420,3.8009787,0.2800000092991807,35249.51411505114,UMC,74.0464,0.65695107,2128.223
Russia,RUS,Europe,146371239,11.15608,0.41898949788857226,36708.429390981655,UMC,71.1705,0.5413754,2399.1277
Rwanda,RWA,Africa,13065796,0.10499269,0.36794344925130323,2520.325302874773,LIC,66.9534,4.2462397,164.40106
